index,MEDIA_PREC_ANUAL,Aridity Index,dias_s_chuv,latitude,longitude
82704,2131.9400000000005,1.4632480803644512,185.27272727272728,-7.610736,-72.681324
82723,2406.2,1.285477447551885,208.69230769230768,-7.26138888,-64.78999999
82753,771.83,0.43843630243145637,282.8181818181818,-7.87944443,-40.09194444
82765,1652.7500000000005,1.116607097499121,225.0909090909091,-7.33722221,-47.45972222
82768,1187.85,0.745015403191257,258.57142857142856,-7.52944443,-46.04638888
82777,811.1000000000001,0.6431799621440716,287.6666666666667,-7.07666666,-40.38999999
82780,1031.6793103448274,0.41871667738445206,285.875,-7.08083332,-41.43499999
82784,1517.2599999999995,0.849033326402401,271.4375,-7.30083333,-39.2711111
82789,1356.1966666666665,1.4746951816763416,243.94117647058823,-7.82972221,-38.12222221
82791,524.2133333333335,0.29383281816735624,296.125,-7.05361111,-37.27388888
82792,419.5066666666667,0.58762022095133,295.2,-7.89444444,-37.12472221
82795,549.5133333333334,0.7712206478970147,228.16666666666666,-7.22555554,-35.90472222
82797,483.7966666666667,0.503646423356011,226.46666666666667,-7.839628,-35.801056
82798,1900.47,1.2901241607122071,178.37037037037038,-7.09527777,-34.8486111
82807,2087.996666666667,1.431817903565433,197.72222222222223,-8.16027777,-70.7686111
82861,1748.8466666666661,0.965572662609487,220.8,-8.25916666,-49.26388888
82863,1634.2699999999998,0.9908913022550214,225.04,-8.9686111,-48.17722221
82870,1714.8466666666673,0.45898099529304126,289.0,-8.44166666,-43.86555555
82879,950.8034482758623,0.35310384823810703,297.6363636363636,-8.365,-42.25027777
82882,806.276666666667,0.27789217843822234,300.875,-8.13222221,-41.14305555
82890,654.9833333333333,0.4407086200786547,262.55555555555554,-8.433537,-37.055365
82892,585.3333333333334,0.29110029780576874,271.75,-8.370701,-36.707812
82893,795.6966666666667,1.0943954483113871,213.30434782608697,-8.91083333,-36.49333333
82900,2263.5500000000006,1.5614545358392633,143.21428571428572,-8.05916666,-34.95916666
82915,2006.803448275862,1.2793322625911805,211.66666666666666,-9.95916666,-67.86888888
82970,1330.0633333333333,0.7945483829980277,239.6,-9.10833333,-45.9486111
82975,978.5333333333333,0.4684423756478397,298.8571428571429,-9.06611111,-44.36527777
82976,624.9733333333334,0.4605452268317175,296.75,-9.28583333,-43.32444443
82979,744.4321428571429,0.4467609942553266,314.4166666666667,-9.62583332,-42.07722221
82983,374.04,0.284974687442719,314.6923076923077,-9.3886111,-40.52333332
82986,581.0607142857142,0.3977949673764572,261.7,-9.378106,-38.226771
82990,598.3517241379311,0.19416475480971798,261.6666666666667,-9.74916666,-37.43083332
82992,818.3275862068965,0.8444315909557302,218.9090909090909,-9.42027777,-36.62027777
82994,1524.948275862069,1.5962441264747274,169.125,-9.55138888,-35.77083332
82996,1592.4206896551725,1.1304391490274242,156.0,-9.162012,-35.299881
83049,940.2625000000002,0.7964143174329761,260.05882352941177,-22.34749999,-43.41777777
83064,1465.72,0.794128204074961,230.4,-10.71083333,-48.40638888
83076,1260.8464285714288,0.6127397354356715,282.1428571428571,-11.002765,-44.52496
83088,866.2250000000001,0.5710398174650119,230.26666666666668,-10.443072,-40.148244
83090,600.8607142857142,0.4952771959764435,246.83333333333331,-10.44249999,-39.33083332
83096,1234.5750000000003,0.818531209285649,198.8125,-10.9525,-37.05444444
83097,991.9321428571429,0.7829168596096864,218.9375,-10.21376,-36.842198
83114,871.9833333333332,0.6632668421854078,243.5625,-22.84694444,-42.18555555
83179,732.6892857142858,0.38525878018316334,307.9090909090909,-11.084858,-43.138998
83182,652.9892857142856,0.35658506095322984,312.0,-11.31138888,-41.85861111
83184,656.9607142857143,0.6630952868992772,225.91666666666666,-11.547494,-41.151165
83186,900.2142857142857,0.517605040033977,239.5,-11.17277777,-40.53416666
83190,869.9214285714287,0.6081886227718616,225.33333333333334,-11.66805554,-39.00194444
83192,566.45,0.43141048702051576,232.66666666666666,-11.10138888,-38.52416666
83195,1041.3,0.9785070592823862,194.83333333333334,-11.272334,-37.794973
83228,1483.5866666666666,0.8389156485239174,243.0,-12.01527777,-48.54499999
83229,1805.2071428571428,1.214037182466573,169.57142857142858,-13.00583333,-38.50583333
83235,1374.4066666666665,0.9031907951416064,237.63636363636363,-12.40222222,-46.43833333
83236,1160.0392857142856,0.6334938026065635,274.375,-12.155843,-45.008269
83242,1084.392857142857,0.7997500652043167,219.83333333333334,-12.557854,-41.388808
83244,848.1357142857142,0.470732220469212,254.66666666666669,-12.52416666,-40.29972221
83249,959.5464285714287,0.8805687414520225,200.25,-12.1486111,-38.42527777
83264,1639.2966666666669,1.2964614236311096,221.42105263157896,-12.288562,-55.294071
83288,1059.625,0.4587631368948869,295.4,-13.251097,-43.405365
83292,760.1392857142856,0.46423848975281473,281.54545454545456,-13.81277777,-41.29972221
83295,944.4607142857146,0.7031650090361393,205.0909090909091,-13.52777777,-40.11972221
83309,1687.9800000000005,1.2786452461915336,239.72727272727275,-14.40611111,-56.44694444
83332,1409.0068965517244,0.9504551285711346,246.375,-14.08907,-46.36653
83338,1005.0766666666665,0.44914083563539897,297.93333333333334,-14.91222222,-42.80861111
83339,952.5285714285712,0.6264190188358693,282.6666666666667,-14.07277777,-42.48722221
83344,831.0749999999998,0.812540426117296,232.9090909090909,-14.88638888,-40.80138888
83358,2678.83,0.9281784233985899,245.69230769230768,-15.82749999,-54.39555555
83361,1512.443333333333,0.8532155111112608,250.8421052631579,-15.61999999,-56.10888888
83368,1479.4310344827586,0.8954970791442177,250.0,-15.9025,-52.24527777
83374,1772.9866666666662,1.1247666400393157,232.375,-15.93972221,-50.14194444
83376,1679.283333333333,1.4887413380557917,216.9090909090909,-15.85472222,-48.96611111
83377,1498.813333333333,1.3667009916018318,231.06896551724137,-15.78972221,-47.92583332
83379,1417.69,0.9874135757858095,248.05555555555554,-15.54916666,-47.33888888
83384,1407.393333333333,0.644048411822707,271.92857142857144,-15.91527777,-46.10722222
83386,986.8433333333335,0.6337238531063134,287.0,-15.448054,-44.366321
83388,909.6733333333333,0.49882887824722844,297.72727272727275,-15.160374,-42.866344
83389,1177.5633333333333,0.5063971364642221,296.72727272727275,-15.086015,-44.016223
83393,1037.41,0.6415530174399031,268.75,-16.00944444,-41.2811111
83395,1260.3933333333334,0.40366955791760684,302.8181818181818,-15.802909,-43.297092
83398,1666.575,1.2481824199279605,179.1818181818182,-15.67333332,-38.96111111
83405,1304.1700000000003,0.736990594947389,265.8235294117647,-16.049639,-57.680826
83408,878.6964285714284,0.45287544421853265,296.77777777777777,-14.29749999,-43.77138888
83423,1626.4931034482759,1.103265414605203,226.72727272727272,-16.67305554,-49.26388888
83428,1707.2333333333333,0.7334034439991487,260.5625,-16.36638888,-46.88944444
83437,1406.6966666666665,0.7666746649662339,278.0833333333333,-16.68638888,-43.84388888
83441,1119.35,0.4944608737355435,273.375,-16.154862,-42.284921
83442,798.4166666666666,0.4130904952385688,295.0,-16.84888888,-42.06083333
83446,1154.8285714285712,0.8167764385544634,194.08333333333334,-16.58081,-39.783182
83464,1643.0833333333335,1.0111234773509474,221.36363636363637,-17.9236111,-51.71749999
83470,1102.7066666666663,1.2793874277924073,232.54545454545453,-17.78527777,-50.96472222
83479,1539.8533333333332,1.0682355934053047,254.43478260869566,-17.24416666,-46.88166666
83481,1535.016666666667,1.0399221022900702,255.9375,-17.74027777,-46.17694443
83483,1355.5766666666668,0.5982228663705181,271.125,-17.34916666,-44.92166666
83488,916.3266666666665,0.8507791394334746,256.0833333333333,-17.85972222,-42.85277777
83492,1379.8133333333333,0.4741392820907481,242.07142857142856,-17.86027777,-41.5075
83498,1359.72,1.0145565093122568,192.08333333333334,-17.73944444,-39.25861111
83514,1714.5366666666669,1.1065826117078907,246.92857142857144,-18.7261111,-49.56222222
83521,1593.4233333333334,0.7209872474866199,259.5833333333333,-18.952916,-49.525072
83522,1437.3499999999997,1.0511966491252513,239.45454545454544,-17.724527,-48.171916
83526,1350.4066666666668,1.2109766303617828,241.63636363636363,-18.17027777,-47.95805555
